username,replied_to_username,location,verified,created_at,text
Dj_Anonymouss, , ,False,2018-11-19 08:34:31+00:00,I had this bad dream about Russell Westbrook! I had to jump up from bed straight! God forbid!
fantasybballbot, , ,False,2018-11-19 06:51:38+00:00,"team with derrick rose, Russell westbrook, Vegeta, dan barnes, and jerry west"
RicEllis85, ,Plano,False,2018-11-19 06:51:12+00:00,"ESPN: “Russell Westbrook became a father of twins today in Oklahoma City, his second and third child.”

Haters: “TWINS? Look at this dude padding his stats! Steph would NEVER!”"
Travis4rmDa718, , ,False,2018-11-26 23:37:55+00:00,"The way NBA star Russell Westbrook is determined and is always hungry on the basketball court is the same way you should be in life to be successful . Be hungry , be dedicated and vicious for your success 👍🏾"
Travis4rmDa718,Yg_Trece, ,False,2018-11-26 23:36:31+00:00,#FavoriteNbaPlayers | Paul George &amp; Russell Westbrook | @Yg_Trece @russwest44 bring that championship to thunder nation ⚡️⚡️⚡️⚡️⚡️⚡️
just_joshing_yu,TheStarters, ,False,2018-11-26 23:13:19+00:00,@TheStarters Every single Russell Westbrook and Cameron Payne pregame dance
JustinTvler, ,Plattsburgh,False,2018-11-26 23:03:08+00:00,My creatine tastes like fucking battery acid. I better look like Russell Westbrook in a few months.
BasketballIMO,PG_Rated_R, ,False,2018-11-26 22:58:50+00:00,"@PG_Rated_R @BADwhatittweets Times shooting +36% in the 3PT during deep playoffs runs: 

Draymond: 2 
PG13: 1
Westbrick: 0"
TulsaTribeTrain,KennyDang_, ,False,2018-11-26 22:50:06+00:00,"Our NEW Starting Lineup
Via: @KennyDang_ 

Tulsa Tribe Roster

PG: Russell Westbrook, Mike Conley

SG: Klay Thompson, Malcolm Brogdon

SF: Paul George, Tim Hardaway Jr.

PF: Tobias Harris, Kevin Love

C: Andre Drummond, Dwight Howard

Coach: Quinn Snyder"
KhalilRahman_S, , ,False,2018-11-26 22:47:02+00:00,Russell Westbrook a force of nature
ThatManCam, , ,False,2018-11-26 22:29:47+00:00,"Hey there everybody,

Russell Westbrook is shooting 17.6% on three-pointers in 4.6 attempts a game."
ShefCurry90, , ,False,2018-11-26 22:29:00+00:00,Russell Westbrook quietly has a chance to average a triple-double for the 3rd straight season 😮😲🤫
JoeyBaddAss, , ,False,2018-11-26 22:24:53+00:00,Paul George bout to Debo Russell Westbrook and be the star on okc
JaredLutes1,CaraRice107, ,False,2018-11-26 21:46:55+00:00,#bangorbust @CaraRice107 Russell Westbrook is like Rick Vaughn in major league. He just need the #wildthing glasses and he won’t go 1-12!
LeWashed, , ,False,2018-11-26 21:41:01+00:00,Russell Westbrook is known for his loyalty but cheats on his wife regularly 🤕
